year,region,population,cases,incidence_per_100k
2022,银川市,2885375.328786428,894,30.98383739130434
2022,兴庆区,816980.8066316944,83,10.159357395701646
2022,西夏区,455052.93384247134,78,17.140863007159904
2022,金凤区,654394.1217271102,115,17.573507490636704
2022,永宁县,320686.04697774135,157,48.95754008620689
2022,贺兰县,340774.7809407684,221,64.85221687763713
2022,灵武市,297486.8733917116,240,80.67582857142857
2023,银川市,2898459.4058158216,568,19.59661739130435
2023,兴庆区,822174.6713967565,58,7.054462028301886
2023,西夏区,458547.05251245573,47,10.249766025641026
2023,金凤区,661761.1148192163,73,11.031170971709717
2023,永宁县,318191.87112515786,66,20.74220179372197
2023,贺兰县,338371.12608953106,123,36.35061933962264
2023,灵武市,299411.88596092217,201,67.13160346153846
2024,银川市,2908116.159152672,314,10.797367877199552
2024,兴庆区,813833.2250279727,39,4.792136619718311
2024,西夏区,456104.72823988914,25,5.481197289156626
2024,金凤区,664143.1156119901,45,6.775648040638607
2024,永宁县,325492.84529877786,49,15.054094339622644
2024,贺兰县,350398.9404450388,64,18.264895412844037
2024,灵武市,298141.9889003204,92,30.857780327868856
